title,link
Faculty Recruitment for the School of Artificial Intelligence and Data Science at USTC,https://saids.ustc.edu.cn/2024/0924/c15435a654470/page.htm
人工智能与数据科学学院教师招聘,https://saids.ustc.edu.cnhttps://mp.weixin.qq.com/s/fl9N0O7tcPb9L0deuO4LqA
人工智能与数据科学学院2024年宋庆龄未来助学金获奖名单公示,https://saids.ustc.edu.cn/2024/1202/c15435a662377/page.htm
人工智能科技英才班2024 年助学经费评审结果公示,https://saids.ustc.edu.cn/2024/1114/c15435a660588/page.htm
人工智能与数据科学学院2024年11.25心理健康教育主题活动月 班级活动申报通知,https://saids.ustc.edu.cn/2024/1111/c15435a660202/page.htm
人工智能与数据科学学院关于调整2025年硕士研究生招生专业的公告,https://saids.ustc.edu.cn/2024/0614/c15435a643814/page.htm
人工智能与数据科学学院关于开展2024年硕转博工作的通知,https://saids.ustc.edu.cn/2024/0419/c15435a638868/page.htm
人工智能与数据科学学院2024年工程博士普通招考实施细则,https://saids.ustc.edu.cn/2024/0419/c15435a638874/page.htm
大数据学院2024年统招硕士研究生招生拟录取名单,https://saids.ustc.edu.cn/2024/0329/c15435a634403/page.htm
 关于开展大数据学院“重温科大故事，传承科大精神谱系”   征文活动的通知,https://saids.ustc.edu.cn/2023/1116/c15435a618827/page.htm
大数据学院2023年11.25心理健康教育主题活动月  班级活动申报通知,https://saids.ustc.edu.cn/2023/1110/c15435a617290/page.htm
关于开展大数据学院“微课同台竞技”活动的通知,https://saids.ustc.edu.cn/2023/0913/c15435a612067/page.htm
2023年大数据学院工程博士普通招考实施细则,https://saids.ustc.edu.cn/2023/0420/c15435a599982/page.htm
大数据学院关于开展2023年硕转博工作的通知,https://saids.ustc.edu.cn/2023/0420/c15435a599981/page.htm
大数据学院 2023年统招硕士研究生招生拟录取名单,https://saids.ustc.edu.cn/2023/0328/c15435a596807/page.htm
大数据学院2023年硕士研究生复试工作细则,https://saids.ustc.edu.cn/2023/0320/c15435a595717/page.htm
2022年大数据学院工程博士普通招考实施细则,https://saids.ustc.edu.cn/2022/0419/c15435a552223/page.htm
 大数据学院关于开展2022年硕转博工作的通知,https://saids.ustc.edu.cn/2022/0419/c15435a552222/page.htm
大数据学院2022年数据科学（数学）专业校内调剂复试通知,https://saids.ustc.edu.cn/2022/0407/c15435a551337/page.htm
大数据学院2022年数据科学（数学）专业校内调剂简章,https://saids.ustc.edu.cn/2022/0405/c15435a551133/page.htm
关于开展“改革开放历史”主题学习与竞答活动的通知,https://saids.ustc.edu.cn/2022/0304/c15435a547794/page.htm
关于开展大数据学院“四史”学习实践活动的通知,https://saids.ustc.edu.cn/2022/0304/c15435a547793/page.htm
关于开展大数据学院“四史”读书微分享活动的通知,https://saids.ustc.edu.cn/2022/0115/c15435a544109/page.htm
科大讯飞谭昶博士报告会,https://saids.ustc.edu.cn/2021/1207/c15435a538115/page.htm
关于举办“红色旋律里的大数据”红歌歌名竞猜活动的通知,https://saids.ustc.edu.cn/2021/0728/c15435a518706/page.htm
大数据学院2021年夏令营校内报名通知,https://saids.ustc.edu.cn/2021/0623/c15435a514122/page.htm
数据科学与大数据技术专业招生宣讲会,https://saids.ustc.edu.cn/2021/0602/c15435a511219/page.htm
2021年大数据学院工程博士普通招考实施细则,https://saids.ustc.edu.cn/2021/0416/c15435a480964/page.htm
大数据学院关于开展2021年硕转博工作的通知,https://saids.ustc.edu.cn/2021/0414/c15435a480720/page.htm
